tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt1667068	video	Classic Swedish Erotica 1	Classic Swedish Erotica 1	1	1986	\N	\N	Adult,Short
tt6245170	tvEpisode	Jake the Snake Roberts: Creator of the DDT!	Jake the Snake Roberts: Creator of the DDT!	0	2015	\N	\N	Talk-Show
tt2189724	tvEpisode	The Muslim Brotherhood	The Muslim Brotherhood	0	2011	\N	\N	Documentary
tt3299532	video	Black Owned 5	Black Owned 5	1	2013	\N	\N	Adult
tt3348282	tvEpisode	La verdad del paradero de Helena Macho Vergara	La verdad del paradero de Helena Macho Vergara	0	2013	\N	\N	Drama,Romance
tt8517524	tvEpisode	Clip: Skin Shop Update	Clip: Skin Shop Update	0	\N	\N	\N	\N
tt4296348	tvEpisode	Episode #1.101	Episode #1.101	0	2000	\N	\N	Romance
tt0259976	short	Discussions in Bioethics: The Old Woman	Discussions in Bioethics: The Old Woman	0	1988	\N	16	Documentary,Short
tt0012613	movie	Reckless Wives	Reckless Wives	0	1921	\N	\N	\N
tt0403619	short	Triangle	Triangle	0	1997	\N	6	Animation,Short
tt4967906	tvEpisode	Episode #1.9	Episode #1.9	0	\N	\N	\N	Comedy
tt2306150	tvEpisode	Episode dated 20 June 2002	Episode dated 20 June 2002	0	2002	\N	\N	News
tt4060700	tvMovie	Verhängnisvolle Nähe	Verhängnisvolle Nähe	0	2014	\N	90	Crime,Thriller
tt12125274	short	Hide & Seek	Hide & Seek	0	2016	\N	21	Short
tt8776342	tvEpisode	Episode #1.8884	Episode #1.8884	0	2018	\N	\N	Drama,Family
tt0597005	tvEpisode	Nice	Nice	0	2003	\N	\N	Comedy
tt7047784	tvEpisode	Episode #1.225	Episode #1.225	0	1987	\N	\N	Drama,Romance
